sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
RxnE_201902_1549816619,RxnE_201902,99.07341096409888,282.83642059537345,0.07551221403224007,0.12979266705920758,0.19068439501916212,,,,,False,False,False
RxnE_201902_1549821595,RxnE_201902,94.39474351093477,247.74029523826084,0.012632194024429614,0.06837909052448417,0.26178385539896953,22.838730197271698,0.07036714635160879,16.215704350258743,0.9834097052641851,False,False,True
RxnE_201902_1549831114,RxnE_201902,91.63881184808895,253.41996790089496,0.007476173253755306,0.07647262223140698,0.2758137554329089,25.457202284055203,0.12243745107473203,55.6041639250996,0.9961215391342882,False,False,True
RxnE_201902_1549832975,RxnE_201902,59.76715424117032,250.8267673367688,0.0033238859955764546,0.1412820830613246,0.2932886622880868,27.016620227415114,0.11113093411580233,70.04474087584977,0.9973033865267507,False,False,True
RxnE_201902_1549839615,RxnE_201902,34.59439257254887,254.4277167844573,0.00932363934154586,0.1876752792858532,0.017119641745265295,25.650949120746457,0.1560605453786782,54.61053176525901,0.9942756788876185,False,False,True
RxnE_201902_1549843586,RxnE_201902,30.66086988821116,309.04883814386415,0.2899469143663016,0.008643851777023264,0.01342581544264533,,,,,False,False,False
RxnE_201902_1549857605,RxnE_201902,20.34540548180498,277.7162648026295,0.07616595083198009,0.005886741360468208,0.2538606104461825,13.036295285305695,0.5667280050500045,3.785325836716031,0.9599352767453747,False,False,True
RxnE_201902_1549865560,RxnE_201902,54.301842470897626,290.42633005372096,0.0363572798263302,0.009430091548839595,0.053406510157183215,,,,,False,False,False
RxnE_201902_1549877483,RxnE_201902,94.31946761655499,252.66511679222035,0.01818513822948295,0.06405678386363578,0.2516976408830355,23.279788328537165,0.06445683015132786,18.464003297864743,0.9879617092321753,False,False,True
RxnE_201902_1549888740,RxnE_201902,96.90604604675573,289.29685539927436,0.00692000807932343,0.25914659556049574,0.26399377204055924,29.633139621616646,0.12372630626188941,63.01789745444674,0.9940378472690902,False,False,True
R1_20190424_0_1556200015,R1_20190424,119.61655627735108,293.66673387101474,0.0027400042330525004,0.000217878127856648,0.23290901877055722,18.0979075604625,0.15342197007880198,86.40760887775527,0.9990148535926808,False,False,True
R1_20190424_1_1556201300,R1_20190424,119.94390320821147,290.5293099081385,0.0034796979645508068,0.0005922058460783881,0.2830542979869474,18.02234169017619,0.13509760549185135,48.97698994328481,0.9951559144128981,False,False,True
R1_20190424_2_1556202839,R1_20190424,116.25344825434047,275.13935257950897,0.0021211559311663454,0.0011795464359425467,0.29532993491196236,18.592429963489092,0.12990427682143868,63.48542728839789,0.9976764790211488,False,False,True
R1_20190424_3_1556212891,R1_20190424,46.506141992018186,264.55756454675907,0.019844730305283408,0.06736586401549001,0.005378507178741902,20.64116448583831,0.0034472528471509722,3.50750440619423,0.9295704329204807,False,False,True
R1_20190424_7_1556218812,R1_20190424,20.873785626944237,285.70043192065344,0.0007409760113909779,0.1653888615109082,0.000354238870525949,32.15265894887723,0.03555865274570846,55.71584457150499,0.45688017968199984,True,False,True
R1_20190424_8_1556224886,R1_20190424,20.40632602278768,283.9794546962813,0.0023333968369868984,0.168358007988854,0.0008523137964953278,28.860830982422048,0.09100576167848984,44.50338763264456,0.809504473106263,True,False,True
R1_20190424_4_1556235422,R1_20190424,32.12820857365432,299.7647073817087,0.0823955802049582,0.025612630724939696,0.0013138806900228593,24.04112734593686,0.17860912653116867,23.36580704621464,0.9885174950114559,False,False,True
R1_20190424_5_1556245572,R1_20190424,20.099356988037922,285.05346003323587,0.0008499708768448331,0.1839838586296274,0.00028163589442528077,35.680135481987016,0.005915667650633116,10.481338473326975,0.1552971555523635,True,False,True
R1_20190424_6_1556251607,R1_20190424,20.51655994307568,283.94486446988657,0.002847154592783787,0.17468918379262388,0.0004341667045094106,33.07431855104683,0.025454441327975363,37.77859475180233,0.25789046628170526,True,False,True
R1_20190424_9_1556257839,R1_20190424,20.02480496011156,284.8347724347808,0.0015799558868811513,0.1659298641230259,0.0001334521813537357,26.94888867599394,0.1827800925895151,40.079928440785075,0.3264260359215654,True,False,True
R2_20190424_1_1556265593,R2_20190424,118.63657645157465,220.0905797343266,0.0010662099121596913,0.12265770378175452,0.29705093507323527,17.799885550817518,0.12890124846480078,10.225318762662472,0.9702808125159711,False,False,True
R2_20190424_2_1556267826,R2_20190424,119.83247542849502,294.60031257793725,0.0032757096583336674,0.004570681335801725,0.28723284342036554,17.259553987070436,0.1600535869593933,75.201235073619,0.9983673909645554,False,False,True
R2_20190424_3_1556271437,R2_20190424,57.51854898083073,267.7079545123329,0.008988606627659925,0.005748756911276792,0.2875645183074772,21.75954590327369,0.1164298327005363,132.39389894191893,0.9989874749849974,False,False,True
R2_20190424_4_1556275631,R2_20190424,29.852018503397986,299.9511418044655,0.08121572517727739,0.025654978524839285,0.00024941002865985757,26.08178887515759,0.13703964194502416,24.022403878456085,0.6051911364274645,True,False,True
