,experiment_id,sample_id,system_class,system_class_xval,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_xval,diffuse_binary_pr,disordered_binary_xval,disordered_binary_pr,crystalline_binary_xval,crystalline_binary_pr
107,RxnB_201903,RxnB_201903_1552190847,diffuse,diffuse__diffuse,True,False,False,True,True,True,False,False,False
120,RxnB_201903,RxnB_201903_1552129560,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
121,RxnB_201903,RxnB_201903_1552121120,diffuse,diffuse,True,False,False,True,True,False,False,False,False
122,RxnB_201903,RxnB_201903_1552201133,diffuse,diffuse,True,False,False,True,True,False,False,False,False
125,RxnB_201903,RxnB_201903_1552229339,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
109,RxnB_201903,RxnB_201903_1552194157,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
123,RxnB_201903,RxnB_201903_1552170336,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
114,RxnB_201903,RxnB_201903_1552139810,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
112,RxnB_201903,RxnB_201903_1552212348,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
106,RxnB_201903,RxnB_201903_1552162971,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
115,RxnB_201903,RxnB_201903_1552143019,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
118,RxnB_201903,RxnB_201903_1552117162,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
129,RxnB_201903,RxnB_201903_1552231339,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
124,RxnB_201903,RxnB_201903_1552222136,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
113,RxnB_201903,RxnB_201903_1552108422,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
128,RxnB_201903,RxnB_201903_1552172709,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
116,RxnB_201903,RxnB_201903_1552105633,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
126,RxnB_201903,RxnB_201903_1552150948,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
110,RxnB_201903,RxnB_201903_1552160304,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
111,RxnB_201903,RxnB_201903_1552238958,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
117,RxnB_201903,RxnB_201903_1552203940,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
108,RxnB_201903,RxnB_201903_1552210330,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
119,RxnB_201903,RxnB_201903_1552132480,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
127,RxnB_201903,RxnB_201903_1552180524,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
130,RxnB_201903,RxnB_201903_1552219492,unidentified,unidentified,False,False,False,True,False,False,False,False,False
178,RxnB_20190329,RxnB_20190329_1554084259,diffuse,diffuse,True,False,False,True,True,False,False,False,False
191,RxnB_20190329,RxnB_20190329_1554071128,diffuse,diffuse,True,False,False,True,True,False,False,False,False
193,RxnB_20190329,RxnB_20190329_1554115566,diffuse,diffuse,True,False,False,True,True,False,False,False,False
195,RxnB_20190329,RxnB_20190329_1554044258,diffuse,diffuse,True,False,False,True,True,False,False,False,False
175,RxnB_20190329,RxnB_20190329_1554018753,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
177,RxnB_20190329,RxnB_20190329_1554119377,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
184,RxnB_20190329,RxnB_20190329_1554035356,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
186,RxnB_20190329,RxnB_20190329_1554095723,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
188,RxnB_20190329,RxnB_20190329_1554061928,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
198,RxnB_20190329,RxnB_20190329_1554111327,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,True,False,False,False
181,RxnB_20190329,RxnB_20190329_1554022504,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
183,RxnB_20190329,RxnB_20190329_1554054259,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
185,RxnB_20190329,RxnB_20190329_1554100902,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
187,RxnB_20190329,RxnB_20190329_1554057588,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
194,RxnB_20190329,RxnB_20190329_1554087010,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
196,RxnB_20190329,RxnB_20190329_1554074813,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
200,RxnB_20190329,RxnB_20190329_1554026495,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
176,RxnB_20190329,RxnB_20190329_1554014393,unidentified,unidentified,False,False,False,False,False,False,False,False,False
179,RxnB_20190329,RxnB_20190329_1554124920,unidentified,unidentified,False,False,False,False,False,False,False,False,False
180,RxnB_20190329,RxnB_20190329_1554011062,unidentified,unidentified,False,False,False,False,False,False,False,False,False
